"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 21.03 00:00,Änderungsrate (24 Std. bis 21.03 00:00),Coronavirus Fälle heute (verifiziert),CV-Fälle Tagespiegel Verifizierung,Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),"Coronavirus Fälle heute (verifiziert, blockiert) 23:25","Coronavirus Todesfälle heute (verifiziert, blockiert)",Todesfall Quelle,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Plön,Kreis,1057,11,10%,11,,https://www.kreis-ploen.de/B%C3%BCrgerservice/Informationen-zum-Coronavirus,https://www.kreis-ploen.de/B%C3%BCrgerservice/Informationen-zum-Coronavirus,20/03/2020 21:17:00,12,,,,,,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,@JamesEDaniell,1,@RR_ralfr,,0,0,11,,,,,,,,,,,1,1.090909091
Rendsburg-Eckernförde,Kreis,1058,24,14%,24,,https://www.kreis-rendsburg-eckernfoerde.de/service/aktuelles-coronavirus/,https://www.kreis-rendsburg-eckernfoerde.de/service/aktuelles-coronavirus/,20/03/2020 21:17:00,30,,,,,,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,@JamesEDaniell,6,@RR_ralfr,,0,0,24,,,,,,,,,,,1,1.25
Schleswig-Flensburg,Kreis,1059,23,5%,23,,"https://www.schleswig-flensburg.de/Leben-Soziales/Gesundheit/Coronavirus/Corona-Virus-Aktuelle-Informationen-des-Kreises-Schleswig-Flensburg.php?object=tx,2120.1&ModID=7&FID=2475.1421.1&NavID=2120.752&La=1","https://www.schleswig-flensburg.de/Leben-Soziales/Gesundheit/Coronavirus/Corona-Virus-Aktuelle-Informationen-des-Kreises-Schleswig-Flensburg.php?object=tx,2120.1&ModID=7&FID=2475.1421.1&NavID=2120.752&La=1",20/03/2020 22:04:48,23,,,,,,,,0,,,0,0,23,,,,,,,,,,,1,1
Segeberg,Kreis,1060,27,42%,27,,https://www.segeberg.de/coronavirus,https://www.segeberg.de/coronavirus,20/03/2020 19:08:00,27,,,,,,,,0,,,0,0,27,,,,,,,,,,,1,1
Steinburg,Kreis,1061,8,0%,8,,https://www.steinburg.de/startseite/presse-aktuelles/meldungen/details/tx_news/allgemeine-informationen-und-verhaltensregeln-zum-coronavirus.html,https://www.steinburg.de/startseite/presse-aktuelles/meldungen/details/tx_news/allgemeine-informationen-und-verhaltensregeln-zum-coronavirus.html,20/03/2020 21:17:00,13,,,,1,,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,@JamesEDaniell,5,@RR_ralfr,,0,0,8,,,,,,,,,,,1,1.625
Stormarn,Kreis,1062,29,38%,29,,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-corona-faelle-im-kreis-stormarn.html,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-bestaetigten-corona-faelle-steigt-weiter.html,20/03/2020 15:00:00,29,,,2,,,,,0,,,0,0,29,,,,,,,,,,,1,1
Hamburg,Kreisfreie Stadt,2000,664,31%,664,,https://www.hamburg.de/coronavirus/pressemeldungen/13721208/2020-03-15-bgv-coronavirus-aktuell/,https://www.hamburg.de/coronavirus/13730108/2020-03-18-coronavius-aktueller-stand/,20/03/2020 22:04:48,664,,,18,1,,,,0,,,0,0,664,,,,,,,,,,,2,1
Ammerland,Landkreis,3451,20,18%,20,,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus/,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus/,20/03/2020 12:00:00,20,3,,,,,,,0,,,0,0,20,,,,,,,,,,,3,1
Aurich,Landkreis,3452,27,0%,27,,https://www.landkreis-aurich.de/soziales-gesundheit/gesundheit/aktuelle-informationen-zum-thema-corona/news.html,https://www.landkreis-aurich.de/soziales-gesundheit/gesundheit/aktuelle-informationen-zum-thema-corona/news.html,20/03/2020 22:04:48,27,,,,,,,,0,,,0,0,27,,,,,,,,,,,3,1
Braunschweig,Kreisfreie Stadt,3101,25,39%,25,,https://www.braunschweig.de/politik_verwaltung/nachrichten/corona.php#Aktuelle_Informationen,https://www.braunschweig.de/politik_verwaltung/nachrichten/corona.php#Aktuelle_Informationen,20/03/2020 22:00:00,25,,,,,,,,0,,,0,0,25,,,,,,,,,,,3,1
