"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 21.03 00:00,Änderungsrate (24 Std. bis 21.03 00:00),Coronavirus Fälle heute (verifiziert),CV-Fälle Tagespiegel Verifizierung,Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),"Coronavirus Fälle heute (verifiziert, blockiert) 23:25","Coronavirus Todesfälle heute (verifiziert, blockiert)",Todesfall Quelle,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Region Hannover,Landkreis,3241,304,28%,304,304,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,20/03/2020 17:41:00,285,,,,,20/03/2020 14:00:00,https://www.hannover.de/Leben-in-der-Region-Hannover/Gesundheit/Gesundheitsschutz/Coronavirus-in-der-Region-Hannover/Meldungen-zum-Coronavirus/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,@YannikAchternbosch,-19,@JamesEDaniell,,0,0,304,,,,,,,,,,,3,0.9375
Rotenburg (Wümme),Landkreis,3357,25,14%,25,,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007,20/03/2020 19:31:36,25,,130,,,,,,0,,,0,0,25,,,,,,,,,,,3,1
Salzgitter,Kreisfreie Stadt,3102,18,80%,18,,https://www.salzgitter.de/,https://www.salzgitter.de/,20/03/2020 22:00:00,18,,45,,,,,,0,,,0,0,18,,,,,,,,,,,3,1
Schaumburg,Landkreis,3257,23,21%,23,,https://www.niedersachsen.de/Coronavirus,https://www.sn-online.de/Schaumburg/Landkreis/Aus-dem-Landkreis/Urlaubsrueckkehrer-Fuenfter-Corona-Fall-im-Landkreis-Schaumburg,20/03/2020 22:00:00,23,,,,,,,,0,,,0,0,23,,,,,,,,,,,3,1
Stade,Landkreis,3359,43,16%,43,43,https://www.landkreis-stade.de/portal/meldungen/coronavirus-aktuelle-lage-informationen-und-hinweise-des-gesundheitsamtes-landkreis-stade-901004416-20350.html?rubrik=901000006,https://www.landkreis-stade.de/portal/meldungen/coronavirus-aktuelle-lage-informationen-und-hinweise-des-gesundheitsamtes-landkreis-stade-901004416-20350.html?rubrik=901000006,20/03/2020 09:00:00,43,,290,,,,,,0,,,0,0,43,,,,,,,,,,,3,1
Uelzen,Landkreis,3360,5,67%,5,,https://www.landkreis-uelzen.de/home/soziales-familie-und-gesundheit/gesundheit/corona-virus.aspx,https://www.landkreis-uelzen.de/home/soziales-familie-und-gesundheit/gesundheit/corona-virus.aspx,20/03/2020 22:00:00,5,,8,,,,,,0,,,0,0,5,,,,,,,,,,,3,1
Vechta,Landkreis,3460,33,50%,33,,https://www.landkreis-vechta.de/nc/service/aktuelles/pressemitteilungen/einzelansicht/news/inzwischen-sechs-covid-19-infektionen-im-landkreis-vechta.html,https://www.landkreis-vechta.de/service/aktuelles/pressemitteilungen.html,20/03/2020 19:56:37,33,,185,,,,,,0,,,0,0,33,,,,,,,,,,,3,1
Verden,Landkreis,3361,24,4%,24,,https://www.landkreis-verden.de/portal/seiten/aktuelles-zum-coronavirus-geschehen-im-landkreis-verden-901001573-20600.html?rubrik=901000034,https://www.landkreis-verden.de/portal/seiten/aktuelles-zum-coronavirus-geschehen-im-landkreis-verden-901001573-20600.html?rubrik=901000034,20/03/2020 19:31:36,24,,,,,,,,0,,,0,0,24,,,,,,,,,,,3,1
Wesermarsch,Landkreis,3461,5,25%,5,,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,20/03/2020 19:31:36,5,,,,,,,,0,,,0,0,5,,,,,,,,,,,3,1
Wilhelmshaven,Kreisfreie Stadt,3405,5,0%,5,,https://www.wilhelmshaven.de/Aktuelles/37209-Zwei-weitere-best%C3%A4tigte-Corona-F%C3%A4lle-in-Wilhelmshaven.html?pid=12899,https://www.wilhelmshaven.de/,20/03/2020 19:31:36,5,,,,,,,,0,,,0,0,5,,,,,,,,,,,3,1
Wittmund,Landkreis,3462,4,0%,4,,https://www.landkreis-wittmund.de/LebenArbeiten/Gesundheit/Infektionsschutz/Coronavirus.aspx,https://www.landkreis-wittmund.de/LebenArbeiten/Gesundheit/Infektionsschutz/Coronavirus.aspx,20/03/2020 22:04:48,4,,4,,,,,,0,,,0,0,4,,,,,,,,,,,3,1
Wolfenbüttel,Landkreis,3158,6,100%,6,,"https://www.lk-wolfenbuettel.de/Aktuelles/Presse/Zweiter-Fall-einer-Infektion-mit-dem-Corona-Virus-im-Landkreis-Wolfenb%C3%BCttel-best%C3%A4tigt.php?object=tx,3282.5&ModID=7&FID=3282.11004.1&NavID=175.225.1",https://www.braunschweiger-zeitung.de/wolfenbuettel/article228711753/Erster-bestaetigter-Corona-Fall-im-Landkreis-Wolfenbuettel.html,20/03/2020 22:00:00,6,,,,,,,,0,,,0,0,6,,,,,,,,,,,3,1
Wolfsburg,Kreisfreie Stadt,3103,14,40%,14,14,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,20/03/2020 17:00:00,14,,,,,,,,0,,,0,0,14,,,,,,,,,,,3,1
Bremen,Kreisfreie Stadt,4011,112,8%,112,,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.332125.de&asl=bremen02.c.732.de,https://www.butenunbinnen.de/nachrichten/gesellschaft/corona-liveticker-bremen-104.html,20/03/2020 19:31:36,127,3,,,,21/03/2020 14:00:00,"https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Fallzahlen.html  +   https://www.weser-kurier.de/deutschland-welt/deutschland-welt-politik_artikel,-liveblog-bremer-laut-polizei-bisher-vernuenftig-_arid,1899754.html",@Perix,15,@Stuqa,,0,0,112,,,,,,,,,,,4,1.133928571
Bremerhaven,Kreisfreie Stadt,4012,15,0%,15,,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.332125.de&asl=bremen02.c.732.de,https://www.butenunbinnen.de/nachrichten/gesellschaft/corona-liveticker-bremen-104.html,20/03/2020 19:31:36,15,0,,,,,,,0,,,0,0,15,,,,,,,,,,,4,1
Bielefeld,Kreisfreie Stadt,5711,72,26%,72,,https://www.bielefeld.de/de/gs/covi/,https://www.bielefeld.de/de/gs/covi/,20/03/2020 21:24:00,72,,1128,,,,,,0,,,0,0,72,,,,,,,,,,,5,1
Bochum,Kreisfreie Stadt,5911,81,33%,81,,https://www.bochum.de/Corona,https://www.bochum.de/Corona,20/03/2020 22:04:48,81,,,,,,,,0,,,0,0,81,,,,,,,,,,,5,1
Bonn,Kreisfreie Stadt,5314,103,37%,119,119,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,20/03/2020 13:00:00,119,,,,,21/03/2020 11:30:00,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,16,@Perix,@Stuqa,1,0,103,,,,,,,,,,,5,1.155339806
Borken,Kreis,5554,252,21%,252,,https://www.presse-service.de/data.aspx/static/?ID=1040027f.html,https://kreis-borken.de/de/service/aktuelles/aktuelle-pressemeldungen/,20/03/2020 17:00:00,252,,,,,,,,0,,,0,0,252,,,,,,,,,,,5,1
Bottrop,Kreisfreie Stadt,5512,13,8%,16,16,https://www.bottrop.de/soziales/gesundheit/infos-zum-coronavirus/index.php,https://www.bottrop.de/soziales/gesundheit/infos-zum-coronavirus/index.php,20/03/2020 16:00:00,16,1,123,,,21/03/2020 11:30:00,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,3,@Perix,@Stuqa,1,0,13,,,,,,,,,,,5,1.230769231
Coesfeld,Kreis,5558,127,37%,127,129,https://www.kreis-coesfeld.de/nachrichten-details.html?tx_news_pi1%5Bnews%5D=6384&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fbc526888b1c1ad0942c67f01357deb4,https://www.kreis-coesfeld.de/nachrichten-details.html?tx_news_pi1%5Bnews%5D=6384&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fbc526888b1c1ad0942c67f01357deb4,20/03/2020 17:00:00,129,5,,,,21/03/2020 11:30,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,2,@Schnitzel,,0,0,127,,,,,,,,,,,5,1.015748031
Dortmund,Kreisfreie Stadt,5913,140,47%,140,140,https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=622746,https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=622746,20/03/2020 14:28:00,140,,,1,,,,,0,,,0,0,140,,,,,,,,,,,5,1
Duisburg,Kreisfreie Stadt,5112,81,8%,89,89,https://www.duisburg.de/allgemein/fachbereiche/gesundheitsamt/corona-virus_allgemeine-informationen.php#Aktuelle_Informationen_zum_Coronavirus-2C_Stand_15-03--2C_09-00_Uhr,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,20/03/2020 22:04:48,89,,,,,21/03/2020 11:30:00,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,8,@Perix,@Stuqa,1,0,81,,,,,,,,,,,5,1.098765432
Düren,Kreis,5358,111,50%,118,118,https://www.kreis-dueren.de/aktuelles/presse/corona-aktuelles.php,https://www.kreis-dueren.de/aktuelles/presse/corona-aktuelles.php,20/03/2020 18:50:00,118,,,,,21/03/2020 11:30,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,7,@Perix,@Stuqa,1,0,111,,,,,,,,,,,5,1.063063063
Düsseldorf,Kreisfreie Stadt,5111,207,5%,207,,https://www.duesseldorf.de/?L=,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,20/03/2020 16:00:00,207,,350,16,1,,,,0,,,0,0,207,,,NRW=189 and Duesseldorf = 198... müssen warten,,,,,,,,5,1
Ennepe-Ruhr-Kreis,Kreis,5954,52,16%,52,,https://www.enkreis.de/,https://www.enkreis.de/,20/03/2020 15:00:00,52,,878,,1,,,,0,,,0,0,52,,,,,,,,,,,5,1
Essen,Kreisfreie Stadt,5113,164,6%,164,179,https://www.essen.de/gesundheit/coronavirus_aktuell.de.html,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,20/03/2020 22:04:48,164,,1033,,1,21/03/2020 11:30:00,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,0,,,0,0,164,,,,,,,,,,,5,1
Euskirchen,Kreis,5366,51,38%,51,,https://www.kreis-euskirchen.de/kreishaus/aktuell/neuste-meldung-I.php,https://www.kreis-euskirchen.de/kreishaus/aktuell/neuste-meldung-I.php,20/03/2020 22:04:48,51,,,,,,,,0,,,0,0,51,,,,,,,,,,,5,1
Gelsenkirchen,Kreisfreie Stadt,5513,41,8%,41,,https://www.gelsenkirchen.de/de/Soziales/Gesundheit/Coronavirus/,https://www.gelsenkirchen.de/de/Soziales/Gesundheit/Coronavirus/,20/03/2020 21:27:00,41,2,,,,,,,0,,,0,0,41,,,,,,,,,,,5,1
Gütersloh,Kreis,5754,179,14%,179,,https://www.kreis-guetersloh.de/aktuelles/corona/,https://www.kreis-guetersloh.de/aktuelles/corona/,20/03/2020 22:04:48,179,,,,,,,,0,,,0,0,179,,,,,,,,,,,5,1
Hagen,Kreisfreie Stadt,5914,28,0%,31,31,https://www.hagen.de/web/de/hagen_de/home.html,https://www.hagen.de/web/de/hagen_de/home.html,20/03/2020 21:29:00,31,,,,,21/03/2020 11:30:00,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,3,@Perix,@Stuqa,1,0,28,,,,,,,,,,,5,1.107142857
Hamm,Kreisfreie Stadt,5915,60,15%,60,,https://www.hamm.de/corona,https://www.hamm.de/corona,20/03/2020 21:19:00,60,,,,,,,,0,,,0,0,60,,,,,,,,,,,5,1
Heinsberg,Kreis,5370,916,3%,916,,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,20/03/2020 22:04:48,916,84,71,,13,,,,0,,,0,0,916,,,,,,,,,,,5,1
Herford,Kreis,5758,84,17%,85,85,https://www.kreis-herford.de/LEBEN/Gesund-sein-und-bleiben/Infektionen-und-Krankheiten/Informationen-zum-Coronavirus,https://www.kreis-herford.de/LEBEN/Gesund-sein-und-bleiben/Infektionen-und-Krankheiten/Informationen-zum-Coronavirus/,20/03/2020 21:20:00,85,2,,,,21/03/2020 11:30,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,1,@Perix,@Stuqa,1,0,84,,,,,,,,,,,5,1.011904762
Herne,Kreisfreie Stadt,5916,16,23%,16,,https://www.herne.de/Stadt-und-Leben/Gesundheit/Informationen-zum-Coronavirus/,https://www.herne.de/Stadt-und-Leben/Gesundheit/Informationen-zum-Coronavirus/,20/03/2020 21:22:00,16,,,,,,,,0,,,0,0,16,,,,,,,,,,,5,1
Hochsauerlandkreis,Kreis,5958,85,4%,109,109,https://www.hochsauerlandkreis.de/startseite/pressemeldungen/pressemeldung-_Corona_Virus__49_Erkrankte_im_HSK___Notrufnummern_110_und_112_nicht_fuer_Coronafragen_nutzen.php,https://www.hochsauerlandkreis.de/startseite/pressemeldungen/pressemeldung-_Corona_Virus__Vier_Erkrankte_stationaer_untergebracht__82_insgesamt___Entscheidung_zu_Beitragsrueckerstattungen_spaetestens_im_April.php,20/03/2020 22:04:48,109,,,,,21/03/2020 11:30:00,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,24,@Perix,@Stuqa,1,0,85,,,,,,,,,,,5,1.282352941
Höxter,Kreis,5762,16,33%,16,,https://www.kreis-hoexter.de/service-kontakt/pressestelle/pressemitteilungen/4205.Update-von-Sonntag-Keine-neuen-Faelle-des-Coronavirus-im-Kreis-Hoexter.html,https://www.kreis-hoexter.de/service-kontakt/pressestelle/pressemitteilungen/4205.Update-von-Sonntag-Keine-neuen-Faelle-des-Coronavirus-im-Kreis-Hoexter.html,20/03/2020 22:04:48,16,,,,,,,,0,,,0,0,16,,,,,,,,,,,5,1
Kleve,Kreis,5154,111,34%,111,,https://www.kleve.de/de/inhalt/aktuelles/,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,20/03/2020 22:04:48,111,,,,,,,,0,,,0,0,111,,,,,,,,,,,5,1
Köln,Kreisfreie Stadt,5315,679,16%,679,,https://www.koeln.de/koeln/nachrichten/lokales/coronavirus-in-koeln-der-aktuelle-stand_1144487.html,https://www.koeln.de/koeln/nachrichten/lokales/coronavirus-in-koeln-der-aktuelle-stand_1144487.html,20/03/2020 22:04:48,679,,,,2,,,,0,,,0,0,679,,,,,,,,,,,5,1
Krefeld,Kreisfreie Stadt,5114,73,18%,73,,https://www.krefeld.de/de/inhalt/informationen-zum-thema-corona-virus/,https://www.krefeld.de/de/inhalt/coronavirus/,20/03/2020 00:00:00,73,,,,,,,,0,,,0,0,73,,,,,,,,,,,5,1
Leverkusen,Kreisfreie Stadt,5316,40,29%,45,45,https://www.leverkusen.de/leben-in-lev/gesundheit/info-zu-corona-virus.php,https://www.leverkusen.de/leben-in-lev/gesundheit/info-zu-corona-virus.php#c0,20/03/2020 21:04:00,45,,,,,21/03/2020 11:30,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,5,@Perix,@Stuqa,1,0,40,,,,,,,,,,,5,1.125
Lippe,Kreis,5766,133,19%,133,,https://www.kreis-lippe.de/?object=tx|2001.7113.1,"https://www.kreis-lippe.de/offen-sympathisch-zukunftsorientiert/Aktuell/Aktuelle-Informationen-zum-Coronavirus-in-Lippe-Stand-18-03-2020-Uhrzeit-12-Uhr-%C3%9Cber-100-Coronaf%C3%A4lle-im-Kreis-Lippe.php?object=tx,2.1&ModID=7&FID=2001.7245.1&NavID=2001.45&La=1",20/03/2020 21:05:00,133,,,,,,,,0,,,0,0,133,,,,,,,,,,,5,1
Märkischer Kreis,Kreis,5962,33,6%,38,38,https://www.maerkischer-kreis.de/,https://www.maerkischer-kreis.de/service/pressemeldungen/presseservice1040278.php,20/03/2020 21:07:00,38,,216,,,21/03/2020 11:30:00,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,5,@Perix,@Stuqa,1,0,33,,,,,,,,,,,5,1.151515152
Mettmann,Kreis,5158,154,52%,154,,https://www.kreis-mettmann.de/,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,20/03/2020 16:00:00,154,,191,,1,,,,0,,,0,0,154,,,,,,,,,,,5,1
Minden-Lübbecke,Kreis,5770,140,19%,140,,https://www.minden-luebbecke.de/Startseite/index.php?object=tx%7c2832.14.1&FID=2832.2977.1&NavID=2832.1,https://www.minden-luebbecke.de/Startseite/index.php?object=tx%7c2832.14.1&FID=2832.2995.1&NavID=2832.1,20/03/2020 11:00:00,148,4,,,,,,,8,,,0,0,140,,,,,,,,,,,5,1.057142857
Mönchengladbach,Kreisfreie Stadt,5116,72,41%,72,77,http://www.notfallmg.de/de/,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,20/03/2020 22:04:48,77,,,,,21/03/2020 11:30:00,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,5,,,0,0,72,,,,,,,,,,,5,1.069444444
Mülheim an der Ruhr,Kreisfreie Stadt,5117,36,20%,36,,https://www.muelheim-ruhr.de/cms/fragen_und_antworten_zum_corona-virus.html?fuid=aefaab3fc99d3b0c1b5547a1c0512a83#aktuell,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,20/03/2020 22:04:48,36,,,,,,,,0,,,0,0,36,,,,,,,,,,,5,1
Münster,Kreisfreie Stadt,5515,219,27%,219,219,bezreg-muenster.de/de/im_fokus/uebergreifende_themen/coronavirus/coronavirus_allgemein/index.html,https://www.muenster.de/,20/03/2020 17:00:00,219,6,,,,21/03/2020 10:15,https://www.bezreg-muenster.de/de/presse/2020/2020-03-06_corona-infektionen/index.html,@Schnitzel,0,,,0,0,219,,,,,,,,,,,5,1
Oberbergischer Kreis,Kreis,5374,78,13%,78,,http://www.oberbergischer-kreis.de/cms200/startseite/,http://www.oberbergischer-kreis.de/cms200/aktuelles/pressemitteilungen/artikel/68903/index.shtml,20/03/2020 21:27:00,78,3,485,1,,,,,0,,,0,0,78,,,,,,,,,,,5,1
Oberhausen,Kreisfreie Stadt,5119,35,35%,35,,https://www.oberhausen.de/de/index.php,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,20/03/2020 22:04:48,35,,193,,,,,,0,,,0,0,35,,,,,,,,,,,5,1
Olpe,Kreis,5966,17,21%,17,,"https://www.kreis-olpe.de/Quicknavigation/Startseite/Corona-Virus-%C3%9Cbersicht.php?object=tx,3123.5&ModID=7&FID=3125.1097.1","https://www.kreis-olpe.de/Quicknavigation/Startseite/Corona-Virus-%C3%9Cbersicht.php?object=tx,3123.5&ModID=7&FID=3125.1097.1",19/03/2020 17:00:00,18,3,,,,21/03/2020 12:00:00,,@MichiC00,1,,,0,0,17,,,,,,,,,,,5,1.058823529
Paderborn,Kreis,5774,75,6%,75,,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/ausschuesse-abgesat.php,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/ausschuesse-abgesat.php,20/03/2020 16:15:00,75,,,,,,,,0,,,0,0,75,,,,,,,,,,,5,1
Recklinghausen,Kreis,5562,125,30%,125,127,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,20/03/2020 16:05:00,127,,,,,2020-03-20 16:05,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,,2,@YannikAchternbosch,,0,0,125,,,,,,,,,,,5,1.016
Remscheid,Kreisfreie Stadt,5120,21,50%,21,,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php,20/03/2020 22:04:48,21,,,,,,,,0,,,0,0,21,,,,,,,,,,,5,1
Rhein-Erft-Kreis,Kreis,5362,149,32%,154,154,https://www.rhein-erft-kreis.de/coronavirus,https://www.rhein-erft-kreis.de/coronavirus,20/03/2020 22:04:48,154,3,,,,21/03/2020 11:30:00,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,5,@Perix,@Stuqa,1,0,149,,,,,,,,,,,5,1.033557047
Rhein-Kreis Neuss,Kreis,5162,86,43%,96,96,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/pressemeldungen/2020/174-aktuell-44-infektionen-mit-dem-coronavirus-im-rhein-kreis-neuss.html,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/pressemeldungen/2020/174-aktuell-44-infektionen-mit-dem-coronavirus-im-rhein-kreis-neuss.html,20/03/2020 22:04:48,96,,,,,21/03/2020 11:30:00,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,10,@Perix,@Stuqa,1,0,86,,,,,,,,,,,5,1.11627907
Rhein-Sieg-Kreis,Kreis,5382,260,14%,260,,https://www.rhein-sieg-kreis.de/corona,https://www.rhein-sieg-kreis.de/corona,20/03/2020 17:00:00,260,,1120,,,,,,0,,,0,0,260,,,,,,,,,,,5,1
Rheinisch-Bergischer Kreis,Kreis,5378,95,17%,95,,https://www.rbk-direkt.de/news/28836/52-bestaetigte-corona-faelle-im-rheinisch-bergischen-kreis-,https://www.rbk-direkt.de/news/28836/52-bestaetigte-corona-faelle-im-rheinisch-bergischen-kreis-,20/03/2020 21:34:00,95,,,,1,,,,0,,,0,0,95,,,,,,,,,,,5,1
Siegen-Wittgenstein,Kreis,5970,39,34%,39,,"https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen/5-neue-Coronaf%C3%A4lle-in-Siegen-Wittgenstein-Kreisverwaltung-bleibt-ab-Dienstag-17-M%C3%A4rz-geschlossen.php?object=tx,2170.14.1&ModID=7&FID=2170.2482.1&NavID=2170.58&La=1&call=suche","https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen/5-neue-Coronaf%C3%A4lle-in-Siegen-Wittgenstein-Kreisverwaltung-bleibt-ab-Dienstag-17-M%C3%A4rz-geschlossen.php?object=tx,2170.14.1&ModID=7&FID=2170.2482.1&NavID=2170.58&La=1&call=suche",20/03/2020 21:36:00,39,,,,,,,,0,,,0,0,39,,,,,,,,,,,5,1
Soest,Kreis,5974,62,13%,62,,https://www.kreis-soest.de/pressemitteilungen/presseservice/1040275.php,https://www.kreis-soest.de/gesundheit_verbraucher/gesundheit/infektionsschutz/corona/Corona.php,20/03/2020 21:36:00,73,,,,,,https://www.kreis-soest.de/gesundheit_verbraucher/gesundheit/infektionsschutz/corona/Corona.php,,11,@Perix,@Stuqa,0,0,62,,,,,,,,,,,5,1.177419355
Solingen,Kreisfreie Stadt,5122,38,9%,38,,https://www.solingen.de/de/inhalt/coronavirus/,https://www.solingen.de/de/inhalt/coronavirus/,20/03/2020 22:04:48,38,,400,,,,,,0,,,0,0,38,,,,,,,,,,,5,1
Städteregion Aachen,Kreis,5334,405,21%,443,436,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,20/03/2020 22:04:48,443,,,,5,21/03/2020 13:01,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,@JamesEDaniell,38,@Perix,@Stuqa,1,0,405,,,,,,,,,,,5,1.09382716
Steinfurt,Kreis,5566,167,11%,188,188,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,20/03/2020 17:00:00,188,,1300,,,21/03/2020 09:30,http://www.presse-service.de/data.aspx/static/1040576.html,@Schnitzel,21,@YannikAchternbosch,@Stuqa,1,0,167,,,,,,,,,,,5,1.125748503
Unna,Kreis,5978,83,36%,83,83,https://www.kreis-unna.de/nachrichten/n/update-coronavirus-1/,https://www.kreis-unna.de/nachrichten/n/update-coronavirus-1/,20/03/2020 14:00:00,83,,,,,,,,0,,,0,0,83,,,,,,,,,,,5,1
Viersen,Kreis,5166,123,76%,123,,https://www.kreis-viersen.de/,https://www.kreis-viersen.de/,20/03/2020 22:04:48,123,,,,,,,,0,,,0,0,123,,,,,,,,,,,5,1
Warendorf,Kreis,5570,181,31%,181,186,https://www.kreis-warendorf.de/aktuelles/presseinformationen/,https://www.kreis-warendorf.de/aktuelles/presseinformationen/,20/03/2020 17:00:00,181,,500,,,21/03/2020 11:30,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@YannikAchternbosch,0,@JamesEDaniell,@Stuqa,1,0,181,,,,,,,,,,,5,1
Wesel,Kreis,5170,124,25%,124,,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-2851183/,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-1424873/,20/03/2020 22:04:48,124,,,,,,,,0,,,0,0,124,,,,,,,,,,,5,1
