"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 20.03 00:00,Änderungsrate (24 Std.),Coronavirus Fälle heute (verifiziert),Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Verden,Landkreis,3361,23,15%,23,https://www.landkreis-verden.de/portal/seiten/aktuelles-zum-coronavirus-geschehen-im-landkreis-verden-901001573-20600.html?rubrik=901000034,https://www.landkreis-verden.de/portal/seiten/aktuelles-zum-coronavirus-geschehen-im-landkreis-verden-901001573-20600.html?rubrik=901000034,19/03/2020 23:59:00,23,,,,,,,,0,,,0,0,,,,,,,,,3,1
Wesermarsch,Landkreis,3461,4,0%,4,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,19/03/2020 23:59:00,4,,,,,,,,0,,,0,0,,,,,,,,,3,1
Wilhelmshaven,Kreisfreie Stadt,3405,5,0%,5,https://www.wilhelmshaven.de/Aktuelles/37209-Zwei-weitere-best%C3%A4tigte-Corona-F%C3%A4lle-in-Wilhelmshaven.html?pid=12899,https://www.wilhelmshaven.de/,19/03/2020 23:59:00,5,,,,,,,,0,,,0,0,,,,,,,,,3,1
Wittmund,Landkreis,3462,4,33%,4,https://www.landkreis-wittmund.de/LebenArbeiten/Gesundheit/Infektionsschutz/Coronavirus.aspx,https://www.landkreis-wittmund.de/LebenArbeiten/Gesundheit/Infektionsschutz/Coronavirus.aspx,19/03/2020 00:00:00,4,,4,,,,,,0,,,0,0,,,,,,,,,3,1
Wolfenbüttel,Landkreis,3158,3,50%,3,"https://www.lk-wolfenbuettel.de/Aktuelles/Presse/Zweiter-Fall-einer-Infektion-mit-dem-Corona-Virus-im-Landkreis-Wolfenb%C3%BCttel-best%C3%A4tigt.php?object=tx,3282.5&ModID=7&FID=3282.11004.1&NavID=175.225.1",https://www.braunschweiger-zeitung.de/wolfenbuettel/article228711753/Erster-bestaetigter-Corona-Fall-im-Landkreis-Wolfenbuettel.html,19/03/2020 00:00:00,3,,,,,,,,0,,,0,0,,,,,,,,,3,1
Wolfsburg,Kreisfreie Stadt,3103,10,25%,10,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,19/03/2020 23:59:00,10,,,,2,,,,0,,,0,0,,,,,,,,,3,1
Bremen,Kreisfreie Stadt,4011,104,68%,104,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.332125.de&asl=bremen02.c.732.de,https://www.butenunbinnen.de/nachrichten/gesellschaft/corona-liveticker-bremen-104.html,19/03/2020 16:40:00,104,3,,,,,,,0,,,0,0,,,,,,,,,4,1
Bremerhaven,Kreisfreie Stadt,4012,15,15%,15,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.332125.de&asl=bremen02.c.732.de,https://www.butenunbinnen.de/nachrichten/gesellschaft/corona-liveticker-bremen-104.html,19/03/2020 16:40:00,15,3,,,,,,,0,,,0,0,,,,,,,,,4,1
Bielefeld,Kreisfreie Stadt,5711,57,16%,57,https://www.bielefeld.de/de/gs/covi/,https://www.bielefeld.de/de/gs/covi/,19/03/2020 16:30:00,57,,960,,,,,,0,,,0,0,,,,,,,,,5,1
Bochum,Kreisfreie Stadt,5911,61,56%,61,https://www.bochum.de/Corona,https://www.bochum.de/Corona,19/03/2020 17:15:00,61,,,,,,,,0,,,0,0,,,,,,,,,5,1
Bonn,Kreisfreie Stadt,5314,75,9%,75,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,19/03/2020 12:00:00,82,,,,,,,,7,,,0,0,,,,,,,,,5,1.093333333
Borken,Kreis,5554,209,27%,209,https://www.presse-service.de/data.aspx/static/?ID=1040027f.html,https://kreis-borken.de/de/service/aktuelles/aktuelle-pressemeldungen/,19/03/2020 23:59:00,209,,,,,,,,0,,,0,0,,,,,,,,,5,1
Bottrop,Kreisfreie Stadt,5512,12,20%,12,https://www.bottrop.de/soziales/gesundheit/infos-zum-coronavirus/index.php,https://www.bottrop.de/soziales/gesundheit/infos-zum-coronavirus/index.php,19/03/2020 23:32:00,12,,99,,,,,,0,,,0,0,,,,,,,,,5,1
Coesfeld,Kreis,5558,93,9%,93,https://www.kreis-coesfeld.de/nachrichten-details.html?tx_news_pi1%5Bnews%5D=6384&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fbc526888b1c1ad0942c67f01357deb4,https://www.kreis-coesfeld.de/nachrichten-details.html?tx_news_pi1%5Bnews%5D=6384&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fbc526888b1c1ad0942c67f01357deb4,19/03/2020 23:59:00,93,,,,,,,,0,,,0,0,,,,,,,,,5,1
Dortmund,Kreisfreie Stadt,5913,95,25%,95,https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=622746,https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=622746,19/03/2020 16:40:00,95,,,1,,,,,0,,,0,0,,,,,,,,,5,1
Duisburg,Kreisfreie Stadt,5112,75,44%,75,https://www.duisburg.de/allgemein/fachbereiche/gesundheitsamt/corona-virus_allgemeine-informationen.php#Aktuelle_Informationen_zum_Coronavirus-2C_Stand_15-03--2C_09-00_Uhr,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 17:10:00,75,,,,,,,,0,,,0,0,,,,,,,,,5,1
Düren,Kreis,5358,74,0%,74,https://www.kreis-dueren.de/aktuelles/presse/corona-aktuelles.php,https://www.kreis-dueren.de/aktuelles/presse/corona-aktuelles.php,19/03/2020 23:44:00,74,,,,,,,,0,,,0,0,,,,,,,,,5,1
Düsseldorf,Kreisfreie Stadt,5111,198,25%,198,https://www.duesseldorf.de/?L=,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 17:00:00,198,,350,17,1,,,,0,,,0,0,,,,,,,,,5,1
Ennepe-Ruhr-Kreis,Kreis,5954,45,18%,45,https://www.enkreis.de/,https://www.enkreis.de/,19/03/2020 16:40:00,45,,,,,,,,0,,,0,0,,,,,,,,,5,1
Essen,Kreisfreie Stadt,5113,154,19%,154,https://www.essen.de/gesundheit/coronavirus_aktuell.de.html,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 23:59:00,164,,1033,,1,,,,10,,,0,0,,,,,,,,,5,1.064935065
Euskirchen,Kreis,5366,37,32%,37,https://www.kreis-euskirchen.de/kreishaus/aktuell/neuste-meldung-I.php,https://www.kreis-euskirchen.de/kreishaus/aktuell/neuste-meldung-I.php,19/03/2020 16:40:00,37,,,,,,,,0,,,0,0,,,,,,,,,5,1
Gelsenkirchen,Kreisfreie Stadt,5513,38,9%,38,https://www.gelsenkirchen.de/de/Soziales/Gesundheit/Coronavirus/,https://www.gelsenkirchen.de/de/Soziales/Gesundheit/Coronavirus/,19/03/2020 14:03:00,38,2,,,,,,,0,,,0,0,,,,,,,,,5,1
Gütersloh,Kreis,5754,157,17%,157,https://www.kreis-guetersloh.de/aktuelles/corona/,https://www.kreis-guetersloh.de/aktuelles/corona/,19/03/2020 23:59:00,157,,,,,,,,0,,,0,0,,,,,,,,,5,1
Hagen,Kreisfreie Stadt,5914,28,33%,28,https://www.hagen.de/web/de/hagen_de/home.html,https://www.hagen.de/web/de/hagen_de/home.html,19/03/2020 19:00:00,28,,,,,,,,0,,,0,0,,,,,,,,,5,1
Hamm,Kreisfreie Stadt,5915,52,93%,52,https://www.hamm.de/corona,https://www.hamm.de/corona,19/03/2020 18:20:00,52,,,,,,,,0,,,0,0,,,,,,,,,5,1
Heinsberg,Kreis,5370,890,10%,890,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,19.03.2020 18:00,890,,71,,9,,,,0,,,0,0,,,,,,,,,5,1
Herford,Kreis,5758,72,38%,72,https://www.kreis-herford.de/LEBEN/Gesund-sein-und-bleiben/Infektionen-und-Krankheiten/Informationen-zum-Coronavirus,https://www.kreis-herford.de/LEBEN/Gesund-sein-und-bleiben/Infektionen-und-Krankheiten/Informationen-zum-Coronavirus/,19/03/2020 23:59:00,72,,,,,,,,0,,,0,0,,,,,,,,,5,1
Herne,Kreisfreie Stadt,5916,13,0%,13,https://www.herne.de/Stadt-und-Leben/Gesundheit/Informationen-zum-Coronavirus/,https://www.herne.de/Stadt-und-Leben/Gesundheit/Informationen-zum-Coronavirus/,19/03/2020 12:00:00,13,,,,,,,,0,,,0,0,,,,,,,,,5,1
Hochsauerlandkreis,Kreis,5958,82,0%,82,https://www.hochsauerlandkreis.de/startseite/pressemeldungen/pressemeldung-_Corona_Virus__49_Erkrankte_im_HSK___Notrufnummern_110_und_112_nicht_fuer_Coronafragen_nutzen.php,https://www.hochsauerlandkreis.de/startseite/pressemeldungen/pressemeldung-_Corona_Virus__Vier_Erkrankte_stationaer_untergebracht__82_insgesamt___Entscheidung_zu_Beitragsrueckerstattungen_spaetestens_im_April.php,19/03/2020 23:59:00,85,,,,,,,,3,,,0,0,,,,,,,,,5,1.036585366
Höxter,Kreis,5762,12,71%,12,https://www.kreis-hoexter.de/service-kontakt/pressestelle/pressemitteilungen/4205.Update-von-Sonntag-Keine-neuen-Faelle-des-Coronavirus-im-Kreis-Hoexter.html,https://www.kreis-hoexter.de/service-kontakt/pressestelle/pressemitteilungen/4205.Update-von-Sonntag-Keine-neuen-Faelle-des-Coronavirus-im-Kreis-Hoexter.html,19/03/2020 23:59:00,12,,,,,,,,0,,,0,0,,,,,,,,,5,1
Kleve,Kreis,5154,83,12%,83,https://www.kleve.de/de/inhalt/aktuelles/,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 23:59:00,83,,,,,,,,0,,,0,0,,,,,,,,,5,1
Köln,Kreisfreie Stadt,5315,586,23%,586,https://www.koeln.de/koeln/nachrichten/lokales/coronavirus-in-koeln-der-aktuelle-stand_1144487.html,https://www.koeln.de/koeln/nachrichten/lokales/coronavirus-in-koeln-der-aktuelle-stand_1144487.html,19/03/2020 23:59:00,586,,,,,,,,0,,,0,0,,,,,,,,,5,1
Krefeld,Kreisfreie Stadt,5114,62,15%,62,https://www.krefeld.de/de/inhalt/informationen-zum-thema-corona-virus/,https://www.krefeld.de/de/inhalt/coronavirus/,19/03/2020 20:57:00,62,,,,,,,,0,,,0,0,,,,,,,,,5,1
Leverkusen,Kreisfreie Stadt,5316,31,0%,31,https://www.leverkusen.de/leben-in-lev/gesundheit/info-zu-corona-virus.php,https://www.leverkusen.de/leben-in-lev/gesundheit/info-zu-corona-virus.php#c0,19/03/2020 23:59:00,31,,,,,,,,0,,,0,0,,,,,,,,,5,1
Lippe,Kreis,5766,112,5%,112,https://www.kreis-lippe.de/?object=tx|2001.7113.1,"https://www.kreis-lippe.de/offen-sympathisch-zukunftsorientiert/Aktuell/Aktuelle-Informationen-zum-Coronavirus-in-Lippe-Stand-18-03-2020-Uhrzeit-12-Uhr-%C3%9Cber-100-Coronaf%C3%A4lle-im-Kreis-Lippe.php?object=tx,2.1&ModID=7&FID=2001.7245.1&NavID=2001.45&La=1",19/03/2020 23:59:00,112,,,,,,,,0,,,0,0,,,,,,,,,5,1
Märkischer Kreis,Kreis,5962,31,7%,31,https://www.maerkischer-kreis.de/,https://www.maerkischer-kreis.de/service/pressemeldungen/presseservice1040278.php,19/03/2020 16:40:00,31,,,,,,,,0,,,0,0,,,,,,,,,5,1
Mettmann,Kreis,5158,101,16%,101,https://www.kreis-mettmann.de/,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 15:00:00,101,,213,,,,,,0,,,0,0,,,,,,,,,5,1
Minden-Lübbecke,Kreis,5770,118,20%,118,https://www.minden-luebbecke.de/Startseite/index.php?object=tx%7c2832.14.1&FID=2832.2977.1&NavID=2832.1,https://www.minden-luebbecke.de/Startseite/index.php?object=tx%7c2832.14.1&FID=2832.2995.1&NavID=2832.1,19/03/2020 23:59:00,118,,,,,,,,0,,,0,0,,,,,,,,,5,1
Mönchengladbach,Kreisfreie Stadt,5116,51,11%,51,http://www.notfallmg.de/de/,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 23:59:00,72,,,,,,,,21,,,0,0,,,,,,,,,5,1.411764706
Mülheim an der Ruhr,Kreisfreie Stadt,5117,30,43%,30,https://www.muelheim-ruhr.de/cms/fragen_und_antworten_zum_corona-virus.html?fuid=aefaab3fc99d3b0c1b5547a1c0512a83#aktuell,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 23:59:00,30,,,,,,,,0,,,0,0,,,,,,,,,5,1
Münster,Kreisfreie Stadt,5515,173,28%,173,bezreg-muenster.de/de/im_fokus/uebergreifende_themen/coronavirus/coronavirus_allgemein/index.html,https://www.muenster.de/,19/03/2020 15:31:00,173,5,,,,"19.03.2020, 15 Uhr",www.muenster.de,,0,,,0,0,,,,,,,,,5,1
Oberbergischer Kreis,Kreis,5374,69,35%,69,http://www.oberbergischer-kreis.de/cms200/startseite/,http://www.oberbergischer-kreis.de/cms200/aktuelles/pressemitteilungen/artikel/68903/index.shtml,19/03/2020 23:59:00,69,3,,,,,,,0,,,0,0,,,,,,,,,5,1
Oberhausen,Kreisfreie Stadt,5119,26,44%,26,https://www.oberhausen.de/de/index.php,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 23:59:00,26,,193,,,,,,0,,,0,0,,,,,,,,,5,1
Olpe,Kreis,5966,14,0%,14,"https://www.kreis-olpe.de/Quicknavigation/Startseite/Corona-Virus-%C3%9Cbersicht.php?object=tx,3123.5&ModID=7&FID=3125.1097.1","https://www.kreis-olpe.de/Quicknavigation/Startseite/Corona-Virus-%C3%9Cbersicht.php?object=tx,3123.5&ModID=7&FID=3125.1097.1",19/03/2020 23:59:00,14,,,,,,,,0,,,0,0,,,,,,,,,5,1
Paderborn,Kreis,5774,71,20%,71,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/ausschuesse-abgesat.php,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/ausschuesse-abgesat.php,19/03/2020 23:59:00,71,,,,,,,,0,,,0,0,,,,,,,,,5,1
Recklinghausen,Kreis,5562,96,37%,96,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,19/03/2020 16:05:00,100,,,,,2020-03-20 11:10,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,,4,,,0,0,,,,,,,,,5,1.041666667
Remscheid,Kreisfreie Stadt,5120,14,-26%,14,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php,19/03/2020 12:00:00,14,,,,,,,,0,,,0,0,,,,,,,,,5,1
Rhein-Erft-Kreis,Kreis,5362,113,9%,113,https://www.rhein-erft-kreis.de/coronavirus,https://www.rhein-erft-kreis.de/coronavirus,19/03/2020 23:59:00,113,2,,,,,,,0,,,0,0,,,,,,,,,5,1
Rhein-Kreis Neuss,Kreis,5162,60,20%,60,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/pressemeldungen/2020/174-aktuell-44-infektionen-mit-dem-coronavirus-im-rhein-kreis-neuss.html,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/pressemeldungen/2020/174-aktuell-44-infektionen-mit-dem-coronavirus-im-rhein-kreis-neuss.html,19/03/2020 23:59:00,60,,,,,,,,0,,,0,0,,,,,,,,,5,1
Rhein-Sieg-Kreis,Kreis,5382,228,44%,228,https://www.rhein-sieg-kreis.de/corona,https://www.rhein-sieg-kreis.de/corona,19/03/2020 23:59:00,228,,,,,,,,0,,,0,0,,,,,,,,,5,1
Rheinisch-Bergischer Kreis,Kreis,5378,81,17%,81,https://www.rbk-direkt.de/news/28836/52-bestaetigte-corona-faelle-im-rheinisch-bergischen-kreis-,https://www.rbk-direkt.de/news/28836/52-bestaetigte-corona-faelle-im-rheinisch-bergischen-kreis-,19/03/2020 16:40:00,81,,,,1,,,,0,,,0,0,,,,,,,,,5,1
Siegen-Wittgenstein,Kreis,5970,29,0%,29,"https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen/5-neue-Coronaf%C3%A4lle-in-Siegen-Wittgenstein-Kreisverwaltung-bleibt-ab-Dienstag-17-M%C3%A4rz-geschlossen.php?object=tx,2170.14.1&ModID=7&FID=2170.2482.1&NavID=2170.58&La=1&call=suche","https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen/5-neue-Coronaf%C3%A4lle-in-Siegen-Wittgenstein-Kreisverwaltung-bleibt-ab-Dienstag-17-M%C3%A4rz-geschlossen.php?object=tx,2170.14.1&ModID=7&FID=2170.2482.1&NavID=2170.58&La=1&call=suche",19/03/2020 23:59:00,29,,,,,,,,0,,,0,0,,,,,,,,,5,1
Soest,Kreis,5974,55,12%,55,https://www.kreis-soest.de/pressemitteilungen/presseservice/1040275.php,https://www.kreis-soest.de/gesundheit_verbraucher/gesundheit/infektionsschutz/corona/Corona.php,19/03/2020 16:00:00,55,,,,,,,,0,,,0,0,,,,,,,,,5,1
Solingen,Kreisfreie Stadt,5122,35,6%,35,https://www.solingen.de/de/inhalt/coronavirus/,https://www.solingen.de/de/inhalt/coronavirus/,19/03/2020 23:59:00,35,,,,,,,,0,,,0,0,,,,,,,,,5,1
Städteregion Aachen,Kreis,5334,334,22%,334,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,19/03/2020 23:59:00,334,,,,5,,,,0,,,0,0,,,,,,,,,5,1
Steinfurt,Kreis,5566,151,22%,151,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,#############,151,,1250,,,,,,0,,,0,0,,,,,,,,,5,1
Unna,Kreis,5978,61,20%,61,https://www.kreis-unna.de/nachrichten/n/update-coronavirus-1/,https://www.kreis-unna.de/nachrichten/n/update-coronavirus-1/,19/03/2020 23:59:00,61,,,,,,,,0,,,0,0,,,,,,,,,5,1
Viersen,Kreis,5166,70,21%,70,https://www.kreis-viersen.de/,https://www.kreis-viersen.de/,19/03/2020 23:59:00,70,,,,,,,,0,,,0,0,,,,,,,,,5,1
Warendorf,Kreis,5570,138,28%,138,https://www.kreis-warendorf.de/aktuelles/presseinformationen/,https://www.kreis-warendorf.de/aktuelles/presseinformationen/,19/03/2020 23:59:00,138,,,,,,,,0,,,0,0,,,,,,,,,5,1
Wesel,Kreis,5170,99,-35%,99,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-2851183/,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-1424873/,19/03/2020 16:40:00,99,,,,,,,,0,,,0,0,,,,,,,,,5,1
Wuppertal,Kreisfreie Stadt,5124,61,22%,61,https://www.wuppertal.de/presse/meldungen/meldungen-2020/februar20/corona-virus-information.php,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 16:00:00,61,,,,,,,,0,,,0,0,,,,,,,,,5,1
Bergstraße,Landkreis,6431,37,19%,37,https://www.kreis-bergstrasse.de/magazin/artikel.php?artikel=7325&menuid=473&topmenu=467,https://www.kreis-bergstrasse.de/magazin/artikel.php?artikel=7325&menuid=473&topmenu=467,19/03/2020 20:30:00,37,,,,,,,,0,,,0,0,,,,,,,,,6,1
Darmstadt,Kreisfreie Stadt,6411,16,45%,16,https://www.darmstadt.de/nachrichten/darmstadt-aktuell/news/x-1,https://www.darmstadt.de/nachrichten/darmstadt-aktuell/news/ausbreitung-des-coronavirus,19/03/2020 18:13:00,16,,,,,,,,0,,,0,0,,,,,,,,,6,1
Darmstadt-Dieburg,Landkreis,6432,26,44%,26,https://perspektive.ladadi.de/index.php?id=137,https://perspektive.ladadi.de/index.php?id=137,19/03/2020 17:00:00,26,,,,,,,,0,,,0,0,,,,,,,,,6,1
Frankfurt am Main,Kreisfreie Stadt,6412,95,14%,95,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,19/03/2020 14:00:00,95,,,,,,,,0,,,0,0,,,,,,,,,6,1
Fulda,Landkreis,6631,71,65%,71,https://www.landkreis-fulda.de/buergerservice/gesundheit/aktuelles#c11139,https://www.landkreis-fulda.de/buergerservice/gesundheit/aktuelles#c11139,19/03/2020 14:00:00,71,,,,,,,,0,,,0,0,,,,,,,,,6,1
Gießen,Landkreis,6531,47,62%,47,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,19/03/2020 23:59:00,47,,,,,,,,0,,,0,0,,,,,,,,,6,1
Groß-Gerau,Landkreis,6433,25,19%,25,"https://www.gross-gerau.de/Quicknavigation/Startseite/Corona_BGM_Aufruf.php?object=tx,2289.7&ModID=7&FID=2289.15595.1&NavID=2289.1&NavID=2289.68",https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,19/03/2020 14:00:00,25,,,,,,,,0,,,0,0,,,,,,,,,6,1
Hersfeld-Rotenburg,Landkreis,6632,20,18%,20,https://www.hef-rof.de/presse/nachrichten-archiv/1566-zwei-neue-corona-faelle-im-landkreis,https://www.hef-rof.de/presse/nachrichten-archiv/1566-zwei-neue-corona-faelle-im-landkreis,19/03/2020 17:49:00,20,,,,,,,,0,,,0,0,,,,,,,,,6,1
Hochtaunuskreis,Landkreis,6434,40,43%,40,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Lage%C3%BCbersicht.html,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,19/03/2020 14:00:00,40,,,,,,,,0,,,0,0,,,,,,,,,6,1
Kassel,Kreisfreie Stadt,6611,34,31%,34,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,19/03/2020 23:59:00,34,,,,,,,,0,,,0,0,,,,,,,,,6,1
Kassel,Landkreis,6633,32,19%,32,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,19/03/2020 23:59:00,32,,,,,,,,0,,,0,0,,,,,,,,,6,1
Lahn-Dill-Kreis,Landkreis,6532,23,10%,23,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,19/03/2020 14:00:00,23,,,,,,,,0,,,0,0,,,,,,,,,6,1
Limburg-Weilburg,Landkreis,6533,36,200%,36,https://www.landkreis-limburg-weilburg.de/,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,19/03/2020 17:54:00,36,,,,,,,,0,,,0,0,,,,,,,,,6,1
Main-Kinzig-Kreis,Landkreis,6435,55,38%,55,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1174336.html,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1174336.html,19/03/2020 23:59:00,55,,,,,,,,0,,,0,0,,,,,,,,,6,1
Main-Taunus-Kreis,Landkreis,6436,28,56%,28,https://www.mtk.org/Coronavirus-8588.htm,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,19/03/2020 14:00:00,28,,,,,,,,0,,,0,0,,,,,,,,,6,1
Marburg-Biedenkopf,Landkreis,6534,43,23%,43,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/03/102-2020-Corona-Folgemeldung-9.php,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/03/102-2020-Corona-Folgemeldung-9.php,19/03/2020 18:00:00,43,,,,,,,,0,,,0,0,,,,,,,,,6,1
Odenwaldkreis,Landkreis,6437,13,63%,13,https://www.odenwaldkreis.de/index.php?id=195&tx_news_pi1%5Bnews%5D=2191&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=b0b9d51ec2c8419190d90b958dd40c06,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,19/03/2020 18:00:00,13,,,,,,,,0,,,0,0,,,,,,,,,6,1
