"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 20.03 00:00,Änderungsrate (24 Std.),Coronavirus Fälle heute (verifiziert),Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Schleswig-Flensburg,Kreis,1059,22,5%,22,"https://www.schleswig-flensburg.de/Leben-Soziales/Gesundheit/Coronavirus/Corona-Virus-Aktuelle-Informationen-des-Kreises-Schleswig-Flensburg.php?object=tx,2120.1&ModID=7&FID=2475.1421.1&NavID=2120.752&La=1","https://www.schleswig-flensburg.de/Leben-Soziales/Gesundheit/Coronavirus/Corona-Virus-Aktuelle-Informationen-des-Kreises-Schleswig-Flensburg.php?object=tx,2120.1&ModID=7&FID=2475.1421.1&NavID=2120.752&La=1",19/03/2020 23:59:00,22,,,,,,,,0,,,0,0,,,,,,,,,1,1
Segeberg,Kreis,1060,19,6%,19,https://www.segeberg.de/coronavirus,https://www.segeberg.de/coronavirus,19/03/2020 17:29:00,19,,,,,,,,0,,,0,0,,,,,,,,,1,1
Steinburg,Kreis,1061,8,100%,8,https://www.steinburg.de/startseite/presse-aktuelles/meldungen/details/tx_news/allgemeine-informationen-und-verhaltensregeln-zum-coronavirus.html,https://www.steinburg.de/startseite/presse-aktuelles/meldungen/details/tx_news/allgemeine-informationen-und-verhaltensregeln-zum-coronavirus.html,19/03/2020 23:59:00,8,,,,1,,,,0,,,0,0,,,,,,,,,1,1
Stormarn,Kreis,1062,21,24%,21,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-corona-faelle-im-kreis-stormarn.html,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-bestaetigten-corona-faelle-steigt-weiter.html,19/03/2020 19:46:00,21,,,,,,,,0,,,0,0,,,,,,,,,1,1
Hamburg,Kreisfreie Stadt,2000,506,22%,506,https://www.hamburg.de/coronavirus/pressemeldungen/13721208/2020-03-15-bgv-coronavirus-aktuell/,https://www.hamburg.de/coronavirus/13730108/2020-03-18-coronavius-aktueller-stand/,19.03.2020 15:30,506,,,18,1,,,,0,,,0,0,,,,,,,,,2,1
Ammerland,Landkreis,3451,17,21%,17,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus/,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus/,19/03/2020 16:00:00,17,,,,,,,,0,,,0,0,,,,,,,,,3,1
Aurich,Landkreis,3452,27,23%,27,https://www.landkreis-aurich.de/soziales-gesundheit/gesundheit/aktuelle-informationen-zum-thema-corona/news.html,https://www.landkreis-aurich.de/soziales-gesundheit/gesundheit/aktuelle-informationen-zum-thema-corona/news.html,19/03/2020 23:25:00,27,,,,,,,,0,,,0,0,,,,,,,,,3,1
Braunschweig,Kreisfreie Stadt,3101,18,38%,18,https://www.braunschweig.de/politik_verwaltung/nachrichten/corona.php#Aktuelle_Informationen,https://www.braunschweig.de/politik_verwaltung/nachrichten/corona.php#Aktuelle_Informationen,19/03/2020 17:19:00,18,,,,,,,,0,,,0,0,,,,,,,,,3,1
Celle,Landkreis,3351,27,29%,27,https://www.cellesche-zeitung.de/Celle/Aus-der-Stadt/Celle-Stadt/Celle-wegen-Coronavirus-im-Krisenmodus-Geschaeft-in-Innenstadt-geschlossen,https://www.cellesche-zeitung.de/Celle/Aus-der-Stadt/Celle-Stadt/Celle-wegen-Coronavirus-im-Krisenmodus-Geschaeft-in-Innenstadt-geschlossen,19/03/2020 23:38:00,27,,120,,,,,,0,,,0,0,,,,,,,,,3,1
Cloppenburg,Landkreis,3453,3,50%,3,https://lkclp.de/gesundheit-soziales/gesundheit/aktuelles-zum-coronavirus--fragen-und-antworten.php?back=true,https://lkclp.de/gesundheit-soziales/gesundheit/aktuelles-zum-coronavirus--fragen-und-antworten.php?back=true,19/03/2020 23:59:00,3,,,,,,,,0,,,0,0,,,,,,,,,3,1
Cuxhaven,Landkreis,3352,28,27%,28,https://www.landkreis-cuxhaven.de/Corona,https://www.landkreis-cuxhaven.de/Corona,19/03/2020 23:59:00,28,,,,,,,,0,,,0,0,,,,,,,,,3,1
Delmenhorst,Kreisfreie Stadt,3401,30,500%,30,https://www.delmenhorst.de/aktuelles/coronavirus.php,https://www.delmenhorst.de/aktuelles/coronavirus.php,19/03/2020 23:59:00,30,,,,,,,,0,,,0,0,,,,,,,,,3,1
Diepholz,Landkreis,3251,47,27%,47,https://www.diepholz.de/portal/meldungen/einheitliches-vorgehen-zur-eindaemmung-des-coronavirus-900004957-21750.html?rubrik=900000022,https://www.diepholz.de/portal/meldungen/einheitliches-vorgehen-zur-eindaemmung-des-coronavirus-900004957-21750.html?rubrik=900000022,19/03/2020 21:00:00,47,,,,,,,,0,,,0,0,,,,,,,,,3,1
Emden,Kreisfreie Stadt,3402,7,0%,7,https://www.emden.de/aktuell/coronavirus,https://www.emden.de/rathaus/verwaltung/verwaltungsvorstand/video,19/03/2020 16:40:00,7,,,,,,,,0,,,0,0,,,,,,,,,3,1
